Year,Country,GDP Per Capita - Foreign
1998,Zimbabwe,"$3,653.92"
1998,Solomon Islands,"$2,474.09"
1998,South Africa,"$9,733.52"
1998,Nauru,
1998,Papua New Guinea,"$3,035.63"
1998,Italy,"$41,044.65"
1998,Western Samoa,
1998,Greece,"$27,637.59"
1998,Bahrain,"$48,733.06"
1998,United Arab Emirates,"$100,100.44"
1998,Mauritius,"$10,953.68"
1998,Austria,"$43,837.79"
1998,Netherlands,"$44,140.34"
1998,Lebanon,"$14,822.09"
1998,Argentina,"$19,866.41"
1998,Egypt,"$7,138.21"
1998,Sri Lanka,"$5,443.48"
1998,France,"$37,592.64"
1998,Tonga,"$4,765.72"
1998,Guam,
1998,Chile,"$14,767.38"
1998,Switzerland,"$56,023.18"
1999,New Zealand,"$31,559.81"
1999,Thailand,"$9,499.25"
1999,India,"$2,522.86"
1999,Argentina,"$18,981.33"
1999,Indonesia,"$5,497.81"
1999,Germany,"$41,708.56"
1999,Vietnam,"$2,797.79"
1999,Hong Kong SAR,"$34,030.79"
1999,United States,"$48,784.39"
1999,South Africa,"$9,819.59"
1999,Malaysia,"$14,968.43"
1999,United Kingdom,"$36,996.13"
1999,Philippines,"$4,358.69"
1999,Fiji,"$9,770.29"
1999,Japan,"$34,615.45"
1999,Tahiti,
1999,France,"$38,679.32"
1999,Vanuatu,"$2,993.53"
1999,Chile,"$14,527.02"
1999,Korea,"$21,255.24"
1999,Singapore,"$52,264.85"
1999,Taiwan,
1999,Canada,"$35,969.63"
1999,Switzerland,"$56,701.55"
1999,Brunei,"$68,541.66"
1999,China,"$3,206.74"
1999,Zimbabwe,"$3,600.85"
1999,Solomon Islands,"$2,395.36"
1999,Nauru,
1999,New Caledonia,
1999,Papua New Guinea,"$3,019.26"
1999,Italy,"$41,704.90"
1999,Guam,
1999,Western Samoa,
1999,Greece,"$28,377.76"
1999,Bahrain,"$49,004.69"
1999,United Arab Emirates,"$97,698.37"
1999,Mauritius,"$11,097.69"
1999,Tonga,"$4,927.86"
1999,Austria,"$45,308.57"
1999,Netherlands,"$46,054.88"
1999,Egypt,"$7,422.84"
1999,Sri Lanka,"$5,647.56"
1999,Luxembourg,"$90,210.75"
2000,United States,"$50,235.82"
2000,New Zealand,"$32,286.39"
2000,Thailand,"$9,819.37"
2000,India,"$2,573.85"
2000,Argentina,"$18,625.45"
2000,Indonesia,"$5,689.26"
2000,Germany,"$42,858.02"
2000,Zimbabwe,"$3,473.43"
2000,Hong Kong SAR,"$36,317.14"
2000,South Africa,"$10,088.85"
2000,Malaysia,"$15,920.05"
2000,United Kingdom,"$38,131.37"
2000,Philippines,"$4,453.76"
2000,Fiji,"$9,548.50"
2000,Japan,"$35,518.17"
2000,Tahiti,
2000,France,"$39,922.59"
2000,Papua New Guinea,"$2,877.77"
2000,Vanuatu,"$3,107.26"
2000,Italy,"$43,264.65"
2000,China,"$3,451.73"
2000,Singapore,"$56,010.57"
2000,Taiwan,
2000,Canada,"$37,388.71"
2000,Switzerland,"$58,603.53"
2000,Western Samoa,
2000,Brunei,"$69,023.09"
2000,Solomon Islands,"$1,998.50"
2000,Nauru,
2000,New Caledonia,
2000,Korea,"$22,988.11"
2000,Guam,
2000,Greece,"$29,369.72"
2000,Bahrain,"$49,422.56"
2000,United Arab Emirates,"$102,494.88"
2000,Vietnam,"$2,954.98"
2000,Luxembourg,"$96,340.30"
2000,Mauritius,"$11,890.59"
2000,Tonga,"$5,068.39"
2000,Austria,"$46,725.57"
2000,Netherlands,"$47,645.40"
2000,Egypt,"$7,744.72"
2000,Sri Lanka,"$5,949.97"
2000,East Timor,
2001,New Zealand,"$33,208.57"
2001,Thailand,"$10,063.80"
2001,India,"$2,651.77"
2001,Argentina,"$17,610.91"
2001,Indonesia,"$5,816.43"
2001,Germany,"$43,512.37"
2001,Hong Kong SAR,"$36,252.68"
2001,United States,"$50,237.66"
2001,South Africa,"$10,224.02"
2001,Malaysia,"$15,654.96"
2001,United Kingdom,"$39,114.67"
2001,Philippines,"$4,492.72"
2001,Japan,"$35,576.67"
2001,New Caledonia,
2001,France,"$40,419.30"
2001,Papua New Guinea,"$2,813.16"
2001,Italy,"$44,084.13"
2001,China,"$3,712.54"
2001,Singapore,"$53,937.13"
2001,Taiwan,
2001,Canada,"$37,504.57"
2001,Brunei,"$69,484.52"
2001,Solomon Islands,"$1,790.10"
2001,Fiji,"$9,704.54"
2001,Nauru,
2001,Vanuatu,"$2,931.55"
2001,Korea,"$23,919.36"
2001,East Timor,
2001,Guam,
2001,United Arab Emirates,"$98,621.63"
2001,Western Samoa,
2001,Greece,"$30,424.58"
2001,Bahrain,"$48,262.08"
2001,Vietnam,"$3,105.64"
2001,Luxembourg,"$97,610.65"
2001,Mauritius,"$12,191.93"
2001,American Samoa,
2001,Tonga,"$5,223.54"
2001,Austria,"$47,136.87"
2001,Netherlands,"$48,387.46"
2001,Egypt,"$7,867.51"
2001,Sri Lanka,"$5,816.47"
2001,Tahiti,
2001,Pakistan,"$3,277.05"
2002,New Zealand,"$34,162.24"
2002,Thailand,"$10,594.28"
2002,India,"$2,706.53"
2002,Argentina,"$15,523.17"
2002,Indonesia,"$5,996.19"
2002,Germany,"$43,353.07"
2002,Hong Kong SAR,"$36,690.41"
2002,United States,"$50,640.61"
2002,South Africa,"$10,469.19"
2002,Malaysia,"$16,158.64"
2002,United Kingdom,"$39,854.75"
2002,Philippines,"$4,562.76"
2002,France,"$40,582.07"
2002,Italy,"$44,130.31"
2002,Singapore,"$55,539.37"
2002,Taiwan,
2002,Japan,"$35,535.92"
2002,Brunei,"$70,770.58"
2002,Solomon Islands,"$1,694.07"
2002,Fiji,"$9,998.72"
2002,Nauru,
2002,New Caledonia,
2002,Papua New Guinea,"$2,751.59"
2002,Vanuatu,"$2,714.28"
2002,Korea,"$25,618.67"
2002,Guam,
2002,Greece,"$31,502.41"
2002,Bahrain,"$47,327.01"
2002,China,"$4,024.46"
2002,United Arab Emirates,"$95,908.92"
2002,Vietnam,"$3,269.88"
2002,Luxembourg,"$100,282.72"
2002,Mauritius,"$12,303.11"
2002,Canada,"$38,368.52"
2002,Austria,"$47,680.21"
2002,Netherlands,"$48,184.05"
2002,Western Samoa,
2002,Egypt,"$7,905.41"
2002,Tahiti,
2002,Tonga,"$5,372.94"
2002,Pakistan,"$3,279.03"
2002,Chile,"$15,755.37"
2002,Niue,
2003,Hong Kong SAR,"$37,886.49"
2003,Malaysia,"$16,754.56"
2003,Singapore,"$58,920.95"
2003,New Zealand,"$35,018.60"
2003,Brunei,"$71,483.59"
2003,Thailand,"$11,271.35"
2003,Indonesia,"$6,198.65"
2003,Solomon Islands,"$1,757.42"
2003,United States,"$51,643.77"
2003,Philippines,"$4,697.49"
2003,Fiji,"$10,088.58"
2003,Nauru,
2003,New Caledonia,
2003,Japan,"$36,001.87"
2003,Papua New Guinea,"$2,754.78"
2003,Vanuatu,"$2,759.12"
2003,Italy,"$43,995.49"
2003,Korea,"$26,288.35"
2003,Taiwan,
2003,Guam,
2003,China,"$4,400.85"
2003,United Arab Emirates,"$97,795.00"
2003,Germany,"$43,019.91"
2003,Vietnam,"$3,462.88"
2003,United Kingdom,"$40,973.30"
2003,Luxembourg,"$100,685.61"
2003,Mauritius,"$12,938.15"
2003,Austria,"$47,895.22"
2003,South Africa,"$10,646.83"
2003,France,"$40,627.15"
2003,Netherlands,"$48,031.89"
2003,Western Samoa,
2003,Argentina,"$16,714.82"
2003,Tahiti,
2003,Chile,"$16,228.95"
2003,Tonga,"$5,455.00"
2003,Canada,"$39,473.37"
2003,Pakistan,"$3,388.18"
2003,Niue,
2003,India,"$2,871.45"
2003,Bahrain,"$47,492.68"
2003,Ireland,"$52,520.60"
2004,Indonesia,"$6,423.72"
2004,Hong Kong SAR,"$40,862.70"
2004,Malaysia,"$17,541.78"
2004,Singapore,"$63,901.72"
2004,New Zealand,"$35,891.71"
2004,Brunei,"$70,616.82"
2004,Thailand,"$11,898.14"
2004,United Arab Emirates,"$97,758.02"
2004,Solomon Islands,"$1,797.19"
2004,United States,"$53,111.83"
2004,Philippines,"$4,908.06"
2004,Fiji,"$10,600.10"
2004,Nauru,"$5,590.11"
2004,New Caledonia,
2004,Japan,"$36,783.21"
2004,Papua New Guinea,"$2,771.47"
2004,Vanuatu,"$2,796.43"
2004,Korea,"$27,545.28"
2004,Taiwan,
2004,Guam,
2004,China,"$4,817.13"
2004,Germany,"$43,541.26"
2004,Vietnam,"$3,689.73"
2004,United Kingdom,"$41,708.01"
2004,Luxembourg,"$102,850.27"
2004,Mauritius,"$13,413.99"
2004,Austria,"$48,900.88"
2004,South Africa,"$10,997.01"
2004,France,"$41,470.32"
2004,Netherlands,"$48,815.38"
2004,Western Samoa,
2004,Bahrain,"$47,677.27"
2004,Argentina,"$18,032.77"
2004,Niue,
2004,Chile,"$17,219.37"
2004,Tonga,"$5,401.71"
2004,Canada,"$40,637.43"
2004,Pakistan,"$3,560.81"
2004,India,"$3,049.30"
2004,Macau,
2004,Greece,"$34,844.76"
2005,New Zealand,"$36,667.22"
2005,Indonesia,"$6,699.27"
2005,Hong Kong SAR,"$43,690.40"
2005,Malaysia,"$18,117.56"
2005,Singapore,"$67,010.52"
2005,Brunei,"$69,787.44"
2005,Thailand,"$12,316.63"
2005,Brazil,"$12,561.82"
2005,United Arab Emirates,"$90,894.84"
2005,Solomon Islands,"$1,848.74"
2005,United States,"$54,473.36"
2005,Philippines,"$5,054.24"
2005,Fiji,"$10,625.66"
2005,Nauru,"$5,620.19"
2005,New Caledonia,
2005,Japan,"$37,391.29"
2005,Papua New Guinea,"$2,883.48"
2005,Vanuatu,"$2,872.18"
2005,Korea,"$28,671.23"
2005,Taiwan,
2005,Guam,
2005,China,"$5,334.61"
2005,Germany,"$43,880.47"
2005,Vietnam,"$3,931.77"
2005,United Kingdom,"$42,739.75"
2005,Luxembourg,"$104,501.91"
2005,Mauritius,"$13,571.84"
2005,Austria,"$49,658.78"
2005,South Africa,"$11,434.91"
2005,Netherlands,"$49,700.26"
2005,Western Samoa,
2005,Bahrain,"$47,508.48"
2005,India,"$3,239.33"
2005,Argentina,"$19,426.61"
2005,Chile,"$18,019.51"
2005,Tonga,"$5,449.82"
2005,Canada,"$42,266.54"
2005,Pakistan,"$3,706.82"
2005,Cook Islands,
2005,Kazakhstan,"$16,536.02"
2005,Tahiti,
2006,New Zealand,"$37,254.06"
2006,Indonesia,"$6,974.45"
2006,Hong Kong SAR,"$46,463.60"
2006,Malaysia,"$18,756.07"
2006,Singapore,"$70,794.45"
2006,Brunei,"$71,843.33"
2006,Thailand,"$12,850.63"
2006,United Arab Emirates,"$86,425.86"
2006,Solomon Islands,"$1,931.30"
2006,United States,"$55,490.90"
2006,Philippines,"$5,228.32"
2006,Fiji,"$10,740.58"
2006,Nauru,"$5,973.54"
2006,New Caledonia,
2006,Japan,"$37,898.22"
2006,Papua New Guinea,"$2,969.97"
2006,Vanuatu,"$3,041.38"
2006,Korea,"$30,022.48"
2006,Taiwan,
2006,Guam,
2006,India,"$3,446.76"
2006,China,"$5,979.67"
2006,Germany,"$45,605.74"
2006,Vietnam,"$4,167.11"
2006,United Kingdom,"$43,609.74"
2006,Luxembourg,"$108,174.25"
2006,Mauritius,"$14,165.95"
2006,Cook Islands,
2006,Austria,"$51,120.45"
2006,South Africa,"$11,924.07"
2006,Netherlands,"$51,337.86"
2006,Western Samoa,
2006,Bahrain,"$46,925.95"
2006,Argentina,"$20,777.83"
2006,Tahiti,
2006,Chile,"$18,956.60"
2006,Tonga,"$5,362.98"
2006,Canada,"$43,584.70"
2006,Marshall Islands,"$3,531.25"
2007,New Zealand,"$38,041.48"
2007,Hong Kong SAR,"$49,043.92"
2007,Malaysia,"$19,550.66"
2007,Singapore,"$74,032.29"
2007,Brunei,"$71,052.09"
2007,Thailand,"$13,473.43"
2007,Indonesia,"$7,319.43"
2007,United Arab Emirates,"$76,620.41"
2007,Solomon Islands,"$2,026.11"
2007,United States,"$55,996.90"
2007,Marshall Islands,"$3,610.65"
2007,Philippines,"$5,474.68"
2007,Fiji,"$10,543.26"
2007,Nauru,"$4,601.61"
2007,New Caledonia,
2007,Japan,"$38,480.88"
2007,Papua New Guinea,"$3,126.07"
2007,Vanuatu,"$3,124.36"
2007,Korea,"$31,603.58"
2007,Taiwan,
2007,Guam,
2007,India,"$3,655.22"
2007,China,"$6,795.07"
2007,Germany,"$47,029.50"
2007,Vietnam,"$4,422.29"
2007,United Kingdom,"$44,323.22"
2007,Luxembourg,"$115,415.43"
2007,Mauritius,"$14,909.17"
2007,Canada,"$46,128.22"
2007,Austria,"$52,854.32"
2007,South Africa,"$12,402.05"
2007,Netherlands,"$53,158.99"
2007,Western Samoa,
2007,Bahrain,"$47,016.09"
2007,Argentina,"$22,424.32"
2007,Qatar,"$97,375.35"
2007,Tahiti,
2007,Chile,"$19,675.12"
2007,Tonga,"$5,095.73"
2007,Kenya,"$3,221.25"
2007,Italy,"$45,578.52"
2007,Cook Islands,
2007,Nigeria,"$4,288.27"
2008,New Zealand,"$37,331.45"
2008,India,"$3,713.25"
2008,Hong Kong SAR,"$49,788.81"
2008,Malaysia,"$20,107.29"
2008,Singapore,"$71,507.06"
2008,United Arab Emirates,"$68,798.41"
2008,Brunei,"$68,855.62"
2008,Thailand,"$13,634.06"
2008,Vanuatu,"$3,248.40"
2008,Germany,"$47,572.42"
2008,Solomon Islands,"$2,121.69"
2008,United States,"$55,393.98"
2008,Philippines,"$5,618.49"
2008,Fiji,"$10,536.59"
2008,Nauru,"$5,596.33"
2008,New Caledonia,
2008,Japan,"$38,041.65"
2008,Papua New Guinea,"$3,041.89"
2008,Korea,"$32,309.52"
2008,China,"$7,413.01"
2008,Taiwan,
2008,Kiribati,"$2,011.31"
2008,Guam,
2008,Indonesia,"$7,657.59"
2008,Vietnam,"$4,628.03"
2008,United Kingdom,"$43,852.11"
2008,Luxembourg,"$111,920.04"
2008,Mauritius,"$15,655.60"
2008,Cook Islands,
2008,Canada,"$46,091.18"
2008,South Africa,"$12,628.20"
2008,Netherlands,"$54,101.69"
2008,Western Samoa,
2008,Argentina,"$23,103.66"
2008,Tahiti,
2008,Chile,"$20,152.48"
2008,Tonga,"$5,213.12"
2008,Bahrain,"$46,424.35"
2008,Italy,"$44,842.00"
2008,Pakistan,"$3,908.60"
2009,New Zealand,"$36,906.15"
2009,Indonesia,"$7,906.26"
2009,Hong Kong SAR,"$48,459.99"
2009,Malaysia,"$19,446.64"
2009,Singapore,"$69,466.58"
2009,United Arab Emirates,"$58,374.59"
2009,Western Samoa,
2009,Brunei,"$66,850.42"
2009,Thailand,"$13,471.90"
2009,United States,"$53,517.54"
2009,Vanuatu,"$3,275.22"
2009,Solomon Islands,"$1,974.78"
2009,Philippines,"$5,606.59"
2009,Fiji,"$10,289.81"
2009,Nauru,"$6,075.60"
2009,New Caledonia,
2009,Papua New Guinea,"$3,172.10"
2009,Korea,"$32,398.46"
2009,China,"$8,069.58"
2009,Taiwan,
2009,Japan,"$35,985.65"
2009,Guam,
2009,Vietnam,"$4,830.30"
2009,India,"$3,949.08"
2009,Germany,"$44,975.96"
2009,United Kingdom,"$41,672.94"
2009,Luxembourg,"$105,077.95"
2009,Mauritius,"$16,131.71"
2009,Cook Islands,
2009,South Africa,"$12,262.14"
2009,Argentina,"$21,520.08"
2009,Tahiti,
2009,Chile,"$19,628.22"
2009,Tonga,"$5,306.30"
2009,Canada,"$44,233.51"
2009,Qatar,"$94,440.37"
2009,France,"$41,745.48"
2009,Reunion,
2009,Macau,
2009,Kiribati,"$1,983.88"
2010,New Zealand,"$37,066.03"
2010,Indonesia,"$8,286.73"
2010,Hong Kong SAR,"$51,360.99"
2010,Malaysia,"$20,540.23"
2010,Fiji,"$10,517.68"
2010,Singapore,"$78,159.84"
2010,United Arab Emirates,"$54,921.84"
2010,Western Samoa,
2010,Brunei,"$67,751.33"
2010,Thailand,"$14,413.35"
2010,India,"$4,227.19"
2010,United States,"$54,437.08"
2010,Vanuatu,"$3,244.53"
2010,Solomon Islands,"$2,058.57"
2010,Philippines,"$5,918.37"
2010,Nauru,"$6,706.13"
2010,New Caledonia,
2010,Papua New Guinea,"$3,414.19"
2010,Korea,"$34,431.15"
2010,Taiwan,
2010,Kiribati,"$1,927.42"
2010,Japan,"$37,487.35"
2010,Guam,
2010,Vietnam,"$5,089.41"
2010,China,"$8,884.86"
2010,Qatar,"$100,691.18"
2010,United Kingdom,"$42,153.63"
2010,Luxembourg,"$108,196.79"
2010,Mauritius,"$16,797.82"
2010,South Africa,"$12,452.34"
2010,Argentina,"$23,521.48"
2010,Germany,"$46,927.33"
2010,France,"$42,349.54"
2010,Chile,"$20,560.61"
2010,Reunion,
2010,Tonga,"$5,491.50"
2010,Canada,"$45,095.90"
2010,Nigeria,"$4,932.33"
2010,Macau,
2010,Brazil,"$14,868.33"
2010,Turkey,"$20,042.26"
2010,Cook Islands,
2011,New Zealand,"$37,652.15"
2011,Indonesia,"$8,680.21"
2011,Hong Kong SAR,"$53,473.02"
2011,Malaysia,"$21,293.27"
2011,Singapore,"$81,398.62"
2011,United Arab Emirates,"$56,123.49"
2011,United States,"$54,884.71"
2011,Western Samoa,
2011,Brunei,"$69,388.64"
2011,Thailand,"$14,464.84"
2011,India,"$4,391.80"
2011,Vanuatu,"$3,197.03"
2011,China,"$9,686.92"
2011,Solomon Islands,"$2,271.44"
2011,Philippines,"$6,043.60"
2011,Fiji,"$10,756.78"
2011,Nauru,"$7,338.60"
2011,New Caledonia,
2011,Papua New Guinea,"$3,377.30"
2011,Korea,"$35,426.69"
2011,Taiwan,
2011,Kiribati,"$1,924.48"
2011,Guam,
2011,Japan,"$37,513.50"
2011,Vietnam,"$5,352.01"
2011,Qatar,"$104,091.10"
2011,South Africa,"$12,666.61"
2011,United Kingdom,"$42,469.65"
2011,Mauritius,"$17,454.78"
2011,Argentina,"$24,647.85"
2011,Germany,"$49,681.29"
2011,Chile,"$21,600.52"
2011,Reunion,
2011,Tonga,"$5,667.55"
2011,Canada,"$46,061.99"
2011,France,"$43,069.33"
2011,Macau,
2011,Tahiti,
